ticker,date,price_usd,market_cap
BTC,2010-07-18,0.08584,295959.152
BTC,2010-07-19,0.0808,279285.2
BTC,2010-07-20,0.0747357288135593,259000.40498983
BTC,2010-07-21,0.0791928626534191,275266.471297019
BTC,2010-07-22,0.0584697603740503,203749.573975453
BTC,2010-07-23,0.0605928696668615,211735.723763881
BTC,2010-07-24,0.05454,191099.979
BTC,2010-07-25,0.050540618351841,177670.489754062
BTC,2010-07-26,0.056,197542.8
BTC,2010-07-27,0.058622016364699,207278.656563121
BTC,2010-07-28,0.0589110987726476,208769.151830509
BTC,2010-07-29,0.0699,248340.72
BTC,2010-07-30,0.064657381648159,230303.127692578
BTC,2010-07-31,0.0675457989479836,241276.971132145
BTC,2010-08-01,0.0611,218982.4
BTC,2010-08-02,0.06,215766
BTC,2010-08-03,0.0600121507890123,216490.833363822
BTC,2010-08-04,0.0570157802454705,206374.318176505
BTC,2010-08-05,0.061,221460.5
BTC,2010-08-06,0.0616713150204559,224350.993347165
BTC,2010-08-07,0.0590039450613676,215104.782115722
BTC,2010-08-08,0.0609,222622.995
BTC,2010-08-09,0.0704,258019.52
BTC,2010-08-10,0.0693387288135593,254792.092898305
BTC,2010-08-11,0.067,246978.75
BTC,2010-08-12,0.07,258797
BTC,2010-08-13,0.0645,239156.325
BTC,2010-08-14,0.0669964336645237,249354.026455991
BTC,2010-08-15,0.0651179322033898,243036.402466102
BTC,2010-08-16,0.0655,244943.8
BTC,2010-08-17,0.07,262223.5
BTC,2010-08-18,0.068,255183.6
BTC,2010-08-19,0.0667,250755.315
BTC,2010-08-20,0.0655,246876.05
BTC,2010-08-21,0.0664,250842.6
BTC,2010-08-22,0.0659289888953828,249762.085081823
BTC,2010-08-23,0.06491,246593.09
BTC,2010-08-24,0.065,247633.75
BTC,2010-08-25,0.0648,247571.64
BTC,2010-08-26,0.0640751139684395,245474.96536879
BTC,2010-08-27,0.065,249574
BTC,2010-08-28,0.0646,248587.26
BTC,2010-08-29,0.064,246796.8
BTC,2010-08-30,0.06497,251021.3405
BTC,2010-08-31,0.06,232371
BTC,2010-09-01,0.0620248275862069,240699.748413793
BTC,2010-09-02,0.0634,246530.9
BTC,2010-09-03,0.06085,237114.195
BTC,2010-09-04,0.062178275862069,242852.800948276
BTC,2010-09-05,0.06165,241298.1
BTC,2010-09-06,0.0616,241589.04
BTC,2010-09-07,0.0612391180596142,240663.610062478
BTC,2010-09-08,0.061,240227.15
BTC,2010-09-09,0.0611149707773232,241092.448219462
BTC,2010-09-10,0.0610115242548218,241224.314022502
BTC,2010-09-11,0.0636208649912332,252049.961879018
BTC,2010-09-12,0.0615,244191.9
BTC,2010-09-13,0.06218,247423.547
BTC,2010-09-14,0.06199,247296.707
BTC,2010-09-15,0.0604,241464.1
BTC,2010-09-16,0.0619,248138.53
BTC,2010-09-17,0.0600005260081823,241148.114079486
BTC,2010-09-18,0.061,245887.95
BTC,2010-09-19,0.0627,253395.78
BTC,2010-09-20,0.0621017358270018,251608.287789889
BTC,2010-09-21,0.06265,254368.3975
BTC,2010-09-22,0.061881870251315,251788.047772063
BTC,2010-09-23,0.062153512565751,253620.515700175
BTC,2010-09-24,0.0622,254519.29
BTC,2010-09-25,0.06202,254424.646
BTC,2010-09-26,0.062,254978.1
BTC,2010-09-27,0.0622004418468732,256514.622176505
BTC,2010-09-28,0.0619038977206312,255947.855515722
BTC,2010-09-29,0.06191,256480.748
BTC,2010-09-30,0.0619,256891.19
BTC,2010-10-01,0.0619733138515488,257672.64433197
BTC,2010-10-02,0.0614,255595.92
BTC,2010-10-03,0.0610648684979544,254573.330281122
BTC,2010-10-04,0.0612944769140853,255999.447555523
BTC,2010-10-05,0.0614,256826.99
BTC,2010-10-06,0.06281,263261.834
BTC,2010-10-07,0.067,281359.8
BTC,2010-10-08,0.0844531081239041,355302.671188077
BTC,2010-10-09,0.0938,395367
BTC,2010-10-10,0.0971462010520164,410335.838623612
BTC,2010-10-11,0.095,402025.75
BTC,2010-10-12,0.0949,402338.04
BTC,2010-10-13,0.104865589129164,445510.96885634
BTC,2010-10-14,0.102,434382.3
BTC,2010-10-15,0.105,448087.5
BTC,2010-10-16,0.101,432320.4
BTC,2010-10-17,0.102,437977.8
BTC,2010-10-18,0.1024,440970.24
BTC,2010-10-19,0.0975448918760959,421311.01974664
BTC,2010-10-20,0.099,428902.65
